8183000 "gravity"
2361960"air resistance"

8183000 "gravity"
-3906250"air resistance"

8183000 "gravity"
2034010"air resistance"

8183000 "gravity"
4083210"air resistance"

8183000 "gravity"
1738890"air resistance"

8183000 "gravity"
3576040"air resistance"

8183000 "gravity"
1474560"air resistance"

8183000 "gravity"
3124810"air resistance"

8183000 "gravity"
1239040"air resistance"

8183000 "gravity"
2714410"air resistance"

8183000 "gravity"
1024000"air resistance"

8183000 "gravity"
2342560"air resistance"

8183000 "gravity"
835210"air resistance"

8183000 "gravity"
2016010"air resistance"

8183000 "gravity"
670810"air resistance"

8183000 "gravity"
1722250"air resistance"

8183000 "gravity"
524410"air resistance"

8183000 "gravity"
1459240"air resistance"

8183000 "gravity"
400000"air resistance"

8183000 "gravity"
1225000"air resistance"

8183000 "gravity"
292410"air resistance"

8183000 "gravity"
1017610"air resistance"

8183000 "gravity"
204490"air resistance"

8183000 "gravity"
829440"air resistance"

8183000 "gravity"
132250"air resistance"

8183000 "gravity"
665640"air resistance"

8183000 "gravity"
75690"air resistance"

8183000 "gravity"
519840"air resistance"

8183000 "gravity"
34810"air resistance"

8183000 "gravity"
396010"air resistance"

8183000 "gravity"
10240"air resistance"

8183000 "gravity"
289000"air resistance"

8183000 "gravity"
250"air resistance"

8183000 "gravity"
201640"air resistance"

8183000 "gravity"
-4840"air resistance"

8183000 "gravity"
134560"air resistance"

8183000 "gravity"
-24010"air resistance"

8183000 "gravity"
77440"air resistance"

8183000 "gravity"
-57760"air resistance"

8183000 "gravity"
36000"air resistance"

8183000 "gravity"
-106090"air resistance"

8183000 "gravity"
10890"air resistance"

8183000 "gravity"
-163840"air resistance"

8183000 "gravity"
360"air resistance"

8183000 "gravity"
-240250"air resistance"

8183000 "gravity"
-4410"air resistance"

8183000 "gravity"
-327610"air resistance"

8183000 "gravity"
-23040"air resistance"

8183000 "gravity"
-428490"air resistance"

8183000 "gravity"
-56250"air resistance"

8183000 "gravity"
-542890"air resistance"

8183000 "gravity"
-104040"air resistance"

8183000 "gravity"
-665640"air resistance"

8183000 "gravity"
-166410"air resistance"

8183000 "gravity"
-800890"air resistance"

8183000 "gravity"
-243360"air resistance"

8183000 "gravity"
-948640"air resistance"

8183000 "gravity"
-331240"air resistance"

8183000 "gravity"
-1102240"air resistance"

8183000 "gravity"
-432640"air resistance"

8183000 "gravity"
-1267360"air resistance"

8183000 "gravity"
-547560"air resistance"

8183000 "gravity"
-1436410"air resistance"

8183000 "gravity"
-670810"air resistance"

8183000 "gravity"
-1624090"air resistance"

8183000 "gravity"
-806560"air resistance"

8183000 "gravity"
-1806250"air resistance"

8183000 "gravity"
-961000"air resistance"

8183000 "gravity"
-1989160"air resistance"

8183000 "gravity"
-1108890"air resistance"

8183000 "gravity"
-2180890"air resistance"

8183000 "gravity"
-1274490"air resistance"

8183000 "gravity"
-2371690"air resistance"

8183000 "gravity"
-1444000"air resistance"

8183000 "gravity"
-2560360"air resistance"

8183000 "gravity"
-1632160"air resistance"

8183000 "gravity"
-2756250"air resistance"

8183000 "gravity"
-1814760"air resistance"

8183000 "gravity"
2948490"air resistance"

8183000 "gravity"
-1998090"air resistance"

8183000 "gravity"
2560360"air resistance"

8183000 "gravity"
-2190240"air resistance"

8183000 "gravity"
2209000"air resistance"

8183000 "gravity"
-2381440"air resistance"

8183000 "gravity"
1892250"air resistance"

8183000 "gravity"
-2570490"air resistance"

8183000 "gravity"
1608010"air resistance"

8183000 "gravity"
2766760"air resistance"

8183000 "gravity"
1354240"air resistance"

8183000 "gravity"
2391210"air resistance"

8183000 "gravity"
1128960"air resistance"

8183000 "gravity"
2079360"air resistance"

8183000 "gravity"
942490"air resistance"

8183000 "gravity"
1780840"air resistance"

8183000 "gravity"
761760"air resistance"

8183000 "gravity"
1497690"air resistance"

8183000 "gravity"
595360"air resistance"

8183000 "gravity"
1260250"air resistance"

8183000 "gravity"
462250"air resistance"

8183000 "gravity"
1043290"air resistance"

8183000 "gravity"
345960"air resistance"

8183000 "gravity"
852640"air resistance"

8183000 "gravity"
249640"air resistance"

8183000 "gravity"
686440"air resistance"

8183000 "gravity"
169000"air resistance"

8183000 "gravity"
538240"air resistance"

8183000 "gravity"
104040"air resistance"

8183000 "gravity"
420250"air resistance"

8183000 "gravity"
54760"air resistance"

8183000 "gravity"
309760"air resistance"

8183000 "gravity"
22090"air resistance"

8183000 "gravity"
219040"air resistance"

8183000 "gravity"
4000"air resistance"

8183000 "gravity"
144000"air resistance"

8183000 "gravity"
-360"air resistance"

8183000 "gravity"
84640"air resistance"

8183000 "gravity"
-10890"air resistance"

8183000 "gravity"
40960"air resistance"

8183000 "gravity"
-36000"air resistance"

8183000 "gravity"
13690"air resistance"

8183000 "gravity"
-75690"air resistance"

8183000 "gravity"
1000"air resistance"

8183000 "gravity"
-129960"air resistance"

8183000 "gravity"
-2890"air resistance"

8183000 "gravity"
-198810"air resistance"

8183000 "gravity"
-19360"air resistance"

8183000 "gravity"
-282240"air resistance"

8183000 "gravity"
-50410"air resistance"

8183000 "gravity"
-376360"air resistance"

8183000 "gravity"
-96040"air resistance"

8183000 "gravity"
-484000"air resistance"

8183000 "gravity"
-156250"air resistance"

8183000 "gravity"
-605160"air resistance"

8183000 "gravity"
-231040"air resistance"

8183000 "gravity"
-734410"air resistance"

8183000 "gravity"
-320410"air resistance"

8183000 "gravity"
-876160"air resistance"

8183000 "gravity"
-420250"air resistance"

8183000 "gravity"
-1024000"air resistance"

8183000 "gravity"
-533610"air resistance"

8183000 "gravity"
-1183360"air resistance"

8183000 "gravity"
-655360"air resistance"

8183000 "gravity"
-1346890"air resistance"

8183000 "gravity"
-789610"air resistance"

8183000 "gravity"
-1521000"air resistance"

8183000 "gravity"
-936360"air resistance"

8183000 "gravity"
-1697440"air resistance"

8183000 "gravity"
-1089000"air resistance"

8183000 "gravity"
-1883560"air resistance"

8183000 "gravity"
-1253160"air resistance"

8183000 "gravity"
-2070250"air resistance"

8183000 "gravity"
-1421290"air resistance"

8183000 "gravity"
2256250"air resistance"

8183000 "gravity"
-1592010"air resistance"

8183000 "gravity"
1936000"air resistance"

8183000 "gravity"
-1772410"air resistance"

8183000 "gravity"
1632160"air resistance"

8183000 "gravity"
-1953640"air resistance"

8183000 "gravity"
1391290"air resistance"

8183000 "gravity"
-2143690"air resistance"

8183000 "gravity"
1149210"air resistance"

8183000 "gravity"
2342560"air resistance"

8183000 "gravity"
948640"air resistance"

8183000 "gravity"
2016010"air resistance"

8183000 "gravity"
767290"air resistance"

8183000 "gravity"
1722250"air resistance"

8183000 "gravity"
610090"air resistance"

8183000 "gravity"
1459240"air resistance"

8183000 "gravity"
466560"air resistance"

8183000 "gravity"
1211040"air resistance"

8183000 "gravity"
349690"air resistance"

8183000 "gravity"
1004890"air resistance"

8183000 "gravity"
249640"air resistance"

8183000 "gravity"
817960"air resistance"

8183000 "gravity"
169000"air resistance"

8183000 "gravity"
655360"air resistance"

8183000 "gravity"
104040"air resistance"

8183000 "gravity"
510760"air resistance"

8183000 "gravity"
54760"air resistance"

8183000 "gravity"
388090"air resistance"

8183000 "gravity"
22090"air resistance"

8183000 "gravity"
282240"air resistance"

8183000 "gravity"
3240"air resistance"

8183000 "gravity"
196000"air resistance"

8183000 "gravity"
-810"air resistance"

8183000 "gravity"
125440"air resistance"

8183000 "gravity"
-12250"air resistance"

8183000 "gravity"
70560"air resistance"

8183000 "gravity"
-38440"air resistance"

8183000 "gravity"
31360"air resistance"

8183000 "gravity"
-79210"air resistance"

8183000 "gravity"
8410"air resistance"

8183000 "gravity"
-134560"air resistance"

8183000 "gravity"
40"air resistance"

8183000 "gravity"
-204490"air resistance"

8183000 "gravity"
-6250"air resistance"

8183000 "gravity"
-289000"air resistance"

8183000 "gravity"
-27040"air resistance"

8183000 "gravity"
-384160"air resistance"

8183000 "gravity"
-62410"air resistance"

8183000 "gravity"
-492840"air resistance"

8183000 "gravity"
-112360"air resistance"

8183000 "gravity"
-615040"air resistance"

8183000 "gravity"
-171610"air resistance"

8183000 "gravity"
-739840"air resistance"

8183000 "gravity"
-249640"air resistance"

8183000 "gravity"
-882090"air resistance"

8183000 "gravity"
-338560"air resistance"

8183000 "gravity"
-1030410"air resistance"

8183000 "gravity"
-436810"air resistance"

8183000 "gravity"
-1176490"air resistance"

8183000 "gravity"
-552250"air resistance"

8183000 "gravity"
-1354240"air resistance"

8183000 "gravity"
-691690"air resistance"

8183000 "gravity"
-1536640"air resistance"

8183000 "gravity"
-817960"air resistance"

8183000 "gravity"
-1713960"air resistance"

8183000 "gravity"
-967210"air resistance"

8183000 "gravity"
1892250"air resistance"

8183000 "gravity"
-1128960"air resistance"

8183000 "gravity"
1608010"air resistance"

8183000 "gravity"
-1288810"air resistance"

8183000 "gravity"
1354240"air resistance"

8183000 "gravity"
-1459240"air resistance"

8183000 "gravity"
1128960"air resistance"

8183000 "gravity"
-1632160"air resistance"

8183000 "gravity"
930250"air resistance"

8183000 "gravity"
-1814760"air resistance"

8183000 "gravity"
756250"air resistance"

8183000 "gravity"
1998090"air resistance"

8183000 "gravity"
600250"air resistance"

8183000 "gravity"
1705690"air resistance"

8183000 "gravity"
466560"air resistance"

8183000 "gravity"
1459240"air resistance"

8183000 "gravity"
349690"air resistance"

8183000 "gravity"
1225000"air resistance"

8183000 "gravity"
249640"air resistance"

8183000 "gravity"
1017610"air resistance"

8183000 "gravity"
169000"air resistance"

8183000 "gravity"
829440"air resistance"

8183000 "gravity"
104040"air resistance"

8183000 "gravity"
665640"air resistance"

8183000 "gravity"
54760"air resistance"

8183000 "gravity"
519840"air resistance"

8183000 "gravity"
22090"air resistance"

8183000 "gravity"
388090"air resistance"

8183000 "gravity"
4000"air resistance"

8183000 "gravity"
282240"air resistance"

8183000 "gravity"
-490"air resistance"

8183000 "gravity"
196000"air resistance"

8183000 "gravity"
-11560"air resistance"

8183000 "gravity"
125440"air resistance"

8183000 "gravity"
-37210"air resistance"

8183000 "gravity"
70560"air resistance"

8183000 "gravity"
-77440"air resistance"

8183000 "gravity"
31360"air resistance"

8183000 "gravity"
-132250"air resistance"

8183000 "gravity"
8410"air resistance"

8183000 "gravity"
-201640"air resistance"

8183000 "gravity"
90"air resistance"

8183000 "gravity"
-285610"air resistance"

8183000 "gravity"
-6760"air resistance"

8183000 "gravity"
-380250"air resistance"

8183000 "gravity"
-28090"air resistance"

8183000 "gravity"
-488410"air resistance"

8183000 "gravity"
-64000"air resistance"

8183000 "gravity"
-610090"air resistance"

8183000 "gravity"
-114490"air resistance"

8183000 "gravity"
-739840"air resistance"

8183000 "gravity"
-179560"air resistance"

8183000 "gravity"
-882090"air resistance"

8183000 "gravity"
-259210"air resistance"

8183000 "gravity"
-1030410"air resistance"

8183000 "gravity"
-349690"air resistance"

8183000 "gravity"
-1190250"air resistance"

8183000 "gravity"
-453690"air resistance"

8183000 "gravity"
-1354240"air resistance"

8183000 "gravity"
-571210"air resistance"

8183000 "gravity"
-1536640"air resistance"

8183000 "gravity"
-696960"air resistance"

8183000 "gravity"
1705690"air resistance"

8183000 "gravity"
-835210"air resistance"

8183000 "gravity"
1444000"air resistance"

8183000 "gravity"
-979690"air resistance"

8183000 "gravity"
1211040"air resistance"

8183000 "gravity"
-1135690"air resistance"

8183000 "gravity"
1004890"air resistance"

8183000 "gravity"
-1296000"air resistance"

8183000 "gravity"
806560"air resistance"

8183000 "gravity"
-1466890"air resistance"

8183000 "gravity"
655360"air resistance"

8183000 "gravity"
1640250"air resistance"

8183000 "gravity"
510760"air resistance"

8183000 "gravity"
1369000"air resistance"

8183000 "gravity"
380250"air resistance"

8183000 "gravity"
1142440"air resistance"

8183000 "gravity"
275560"air resistance"

8183000 "gravity"
954810"air resistance"

8183000 "gravity"
190440"air resistance"

8183000 "gravity"
767290"air resistance"

8183000 "gravity"
121000"air resistance"

8183000 "gravity"
620010"air resistance"

8183000 "gravity"
67240"air resistance"

8183000 "gravity"
484000"air resistance"

8183000 "gravity"
29160"air resistance"

8183000 "gravity"
357210"air resistance"

8183000 "gravity"
7290"air resistance"

8183000 "gravity"
262440"air resistance"

8183000 "gravity"
0"air resistance"

8183000 "gravity"
179560"air resistance"

8183000 "gravity"
-6760"air resistance"

8183000 "gravity"
112360"air resistance"

8183000 "gravity"
-28090"air resistance"

8183000 "gravity"
60840"air resistance"

8183000 "gravity"
-64000"air resistance"

8183000 "gravity"
25000"air resistance"

8183000 "gravity"
-114490"air resistance"

8183000 "gravity"
5290"air resistance"

8183000 "gravity"
-179560"air resistance"

8183000 "gravity"
-160"air resistance"

8183000 "gravity"
-259210"air resistance"

8183000 "gravity"
-9610"air resistance"

8183000 "gravity"
-349690"air resistance"

8183000 "gravity"
-33640"air resistance"

8183000 "gravity"
-453690"air resistance"

8183000 "gravity"
-72250"air resistance"

8183000 "gravity"
-571210"air resistance"

8183000 "gravity"
-121000"air resistance"

8183000 "gravity"
-691690"air resistance"

8183000 "gravity"
-187690"air resistance"

8183000 "gravity"
-829440"air resistance"

8183000 "gravity"
-272250"air resistance"

8183000 "gravity"
-985960"air resistance"

8183000 "gravity"
-361000"air resistance"

8183000 "gravity"
-1135690"air resistance"

8183000 "gravity"
-466560"air resistance"

8183000 "gravity"
-1296000"air resistance"

8183000 "gravity"
-585640"air resistance"

8183000 "gravity"
-1466890"air resistance"

8183000 "gravity"
-712890"air resistance"

8183000 "gravity"
1640250"air resistance"

8183000 "gravity"
-852640"air resistance"

8183000 "gravity"
1383840"air resistance"

8183000 "gravity"
-998560"air resistance"

8183000 "gravity"
1156000"air resistance"

8183000 "gravity"
-1156000"air resistance"

8183000 "gravity"
954810"air resistance"

8183000 "gravity"
-1317690"air resistance"

8183000 "gravity"
772840"air resistance"

8183000 "gravity"
1489960"air resistance"

8183000 "gravity"
615040"air resistance"

8183000 "gravity"
1253160"air resistance"

8183000 "gravity"
479610"air resistance"

8183000 "gravity"
1036840"air resistance"

8183000 "gravity"
361000"air resistance"

8183000 "gravity"
846810"air resistance"

8183000 "gravity"
259210"air resistance"

8183000 "gravity"
